,State,County,FIPS,Density,White,MHI,Bachelors,2012D,2012R,2012O,2016D,2016R,2016O,2012Total,2012DPCT,2012RPCT,2012OPCT,2012Margin,2016Total,2016DPCT,2016RPCT,2016OPCT,2016Margin,Diff_12_16
0,Alabama,Autauga,1001,92.9311621,0.75046161,58343,0.25,6363,17379,231,5936,18172,865,23973,0.2654236015517457,0.7249405581278939,0.009635840320360406,0.4595169565761482,24973,0.2376967124494454,0.7276658791494814,0.03463740840107316,0.48996916670003604,0.030452210123887824
1,Alabama,Baldwin,1003,130.654556,0.83158893,56607,0.307,18424,66016,1051,18458,72883,3874,85491,0.21550806517645132,0.7721982430899159,0.01229369173363278,0.5566901779134645,95215,0.193856010082445,0.765457123352413,0.040686866565142046,0.571601113269968,0.014910935356503452
2,Alabama,Barbour,1005,29.177967600000002,0.46241140000000003,32490,0.12,5912,5550,55,4871,5454,144,11517,0.5133281236433099,0.4818963271685335,0.004775549188156638,-0.03143179647477645,10469,0.46527844111185407,0.5209666634826631,0.013754895405482854,0.055688222370809004,0.08712001884558546
3,Alabama,Bibb,1007,36.2620065,0.74552622,45795,0.132,2202,6132,86,1874,6738,207,8420,0.261520190023753,0.7282660332541567,0.010213776722090262,0.46674584323040375,8819,0.21249574781721284,0.7640322031976414,0.023472048985145707,0.5515364553804286,0.08479061215002487
4,Alabama,Blount,1009,89.2040696,0.87499348,48253,0.131,2970,20757,333,2156,22859,573,24060,0.12344139650872818,0.862718204488778,0.013840399002493765,0.7392768079800498,25588,0.08425824605283727,0.8933484445833985,0.022393309363764265,0.8090901985305612,0.06981339055051139
5,Alabama,Bullock,1011,16.668272299999998,0.21693479,29113,0.134,4061,1251,10,3530,1140,40,5322,0.7630590003757985,0.2350620067643743,0.0018789928598271326,-0.5279969936114243,4710,0.7494692144373672,0.24203821656050956,0.008492569002123142,-0.5074309978768576,0.020565995734566633
6,Alabama,Butler,1013,25.782989800000003,0.51844825,36842,0.161,4374,5087,41,3726,4901,105,9502,0.46032414228583457,0.5353609766364976,0.00431488107766786,0.07503683435066305,8732,0.4267063673843335,0.5612688960146587,0.012024736601007788,0.1345625286303252,0.059525694279662145
7,Alabama,Calhoun,1015,189.839405,0.72499087,45937,0.179,15511,30278,575,13242,32865,1757,46364,0.3345483564834786,0.6530497800017254,0.012401863514795962,0.31850142351824684,47864,0.2766588667892362,0.6866329600534848,0.03670817315727896,0.40997409326424866,0.09147266974600182
8,Alabama,Chambers,1017,56.6124084,0.5578751000000001,36883,0.133,6871,7626,132,5784,7843,273,14629,0.46968350536605374,0.5212933214847221,0.009023173149224144,0.05160981611866833,13900,0.41611510791366907,0.5642446043165468,0.019640287769784173,0.1481294964028777,0.09651968028420937
9,Alabama,Cherokee,1019,46.5522846,0.91748138,44842,0.125,2132,7506,154,1547,8953,233,9792,0.21772875816993464,0.7665441176470589,0.015727124183006536,0.5488153594771242,10733,0.14413491102208142,0.8341563402590143,0.021708748718904314,0.6900214292369329,0.14120606975980865
